state,date,total_events,conflict_score,fatalities
Katsina,2017-05-01,1,1,0
Katsina,2017-06-01,3,9,3
Katsina,2017-07-01,1,5,2
Katsina,2017-09-01,1,3,3
Katsina,2017-11-01,1,4,1
Katsina,2018-01-01,1,4,0
Katsina,2018-02-01,1,4,0
Katsina,2018-03-01,2,2,0
Katsina,2018-10-01,1,3,0
Katsina,2018-11-01,5,22,14
Katsina,2019-01-01,5,23,18
Katsina,2019-02-01,7,29,18
Katsina,2019-03-01,4,15,1
Katsina,2019-04-01,11,49,83
Katsina,2019-05-01,14,54,67
Katsina,2019-06-01,13,50,36
Katsina,2019-07-01,18,78,41
Katsina,2019-08-01,7,30,4
Katsina,2019-09-01,7,24,10
Katsina,2019-10-01,2,2,0
Katsina,2019-11-01,1,5,2
Katsina,2019-12-01,7,25,2
Katsina,2020-01-01,6,27,7
Katsina,2020-02-01,4,17,37
Katsina,2020-03-01,5,22,26
Katsina,2020-04-01,12,51,80
Katsina,2020-05-01,35,150,262
Katsina,2020-06-01,39,152,120
Katsina,2020-07-01,20,91,95
Katsina,2020-08-01,24,104,53
Katsina,2020-09-01,32,140,55
Katsina,2020-10-01,17,72,90
Katsina,2020-11-01,17,73,139
Katsina,2020-12-01,30,125,71
Katsina,2021-01-01,13,60,70
Katsina,2021-02-01,13,58,14
Katsina,2021-03-01,9,37,21
Katsina,2021-04-01,18,77,70
Katsina,2021-05-01,16,76,31
Katsina,2021-06-01,10,43,11
Katsina,2021-07-01,15,63,32
Katsina,2021-08-01,23,95,70
Katsina,2021-09-01,13,49,42
Katsina,2021-10-01,15,60,35
Katsina,2021-11-01,9,39,32
Katsina,2021-12-01,5,19,9
Katsina,2022-01-01,32,130,169
Katsina,2022-02-01,16,72,102
Katsina,2022-03-01,18,70,57
Katsina,2022-04-01,14,63,14
Katsina,2022-05-01,12,40,24
Katsina,2022-06-01,10,40,8
Katsina,2022-07-01,36,151,105
Katsina,2022-08-01,21,89,28
Katsina,2022-09-01,22,95,38
Katsina,2022-10-01,32,131,30
Katsina,2022-11-01,17,60,11
Katsina,2022-12-01,30,123,20
Katsina,2023-01-01,24,94,116
Katsina,2023-02-01,12,41,10
Katsina,2023-03-01,18,71,31
Katsina,2023-04-01,4,20,8
Katsina,2023-05-01,11,40,5
Katsina,2023-06-01,21,95,41
Katsina,2023-07-01,37,142,53
Katsina,2023-08-01,39,160,24
Katsina,2023-09-01,17,58,9
Katsina,2023-10-01,16,68,32
Katsina,2023-11-01,26,111,46
Katsina,2023-12-01,29,125,80
Katsina,2024-01-01,30,131,89
Katsina,2024-02-01,45,189,136
Katsina,2024-03-01,42,174,115
Katsina,2024-04-01,20,83,136
Katsina,2024-05-01,20,92,134
Katsina,2024-06-01,27,106,221
Katsina,2024-07-01,30,122,60
Katsina,2024-08-01,72,286,53
Katsina,2024-09-01,44,180,97
Katsina,2024-10-01,33,144,44
Katsina,2024-11-01,49,189,111
Katsina,2024-12-01,48,199,86
Kebbi,2017-03-01,1,5,0
Kebbi,2017-11-01,2,6,1
Kebbi,2017-12-01,2,9,3
Kebbi,2018-01-01,3,13,8
Kebbi,2018-07-01,2,8,2
Kebbi,2019-05-01,1,5,0
Kebbi,2019-06-01,1,4,1
Kebbi,2019-08-01,2,2,0
Kebbi,2019-09-01,2,5,0
Kebbi,2019-10-01,3,11,1
Kebbi,2019-12-01,1,4,2
Kebbi,2020-03-01,1,4,7
Kebbi,2020-04-01,1,4,1
Kebbi,2020-06-01,3,9,1
Kebbi,2020-07-01,1,4,1
Kebbi,2020-08-01,1,4,0
Kebbi,2020-09-01,2,8,1
Kebbi,2020-10-01,1,4,0
Kebbi,2020-11-01,2,8,0
Kebbi,2021-02-01,2,6,1
Kebbi,2021-03-01,2,8,3
Kebbi,2021-04-01,3,11,20
Kebbi,2021-05-01,1,4,88
Kebbi,2021-06-01,4,14,1
Kebbi,2021-07-01,1,5,7
Kebbi,2021-09-01,1,4,5
Kebbi,2022-01-01,2,9,22
Kebbi,2022-02-01,12,46,41
Kebbi,2022-03-01,11,44,124
Kebbi,2022-04-01,1,4,2
Kebbi,2022-05-01,1,1,0
Kebbi,2022-06-01,2,9,53
Kebbi,2022-08-01,5,21,10
Kebbi,2022-09-01,3,9,1
Kebbi,2022-10-01,2,9,5
Kebbi,2022-11-01,3,10,0
Kebbi,2022-12-01,8,24,6
Kebbi,2023-01-01,1,5,4
Kebbi,2023-02-01,1,4,0
Kebbi,2023-03-01,1,4,0
Kebbi,2023-04-01,6,28,78
Kebbi,2023-05-01,3,14,5
Kebbi,2023-07-01,1,1,0
Kebbi,2023-08-01,3,15,2
Kebbi,2023-09-01,8,31,31
Kebbi,2023-10-01,9,35,8
Kebbi,2023-11-01,6,30,10
Kebbi,2024-01-01,4,19,7
Kebbi,2024-02-01,3,13,1
Kebbi,2024-03-01,2,4,1
Kebbi,2024-04-01,2,8,7
Kebbi,2024-05-01,1,1,0
Kebbi,2024-06-01,3,13,2
Kebbi,2024-07-01,4,8,2
Kebbi,2024-08-01,1,4,2
Kebbi,2024-09-01,2,8,1
Kebbi,2024-10-01,6,24,2
Kebbi,2024-11-01,5,22,23
Kebbi,2024-12-01,6,23,2
Lagos,2017-01-01,8,19,4
Lagos,2017-02-01,14,29,7
Lagos,2017-03-01,9,16,0
Lagos,2017-04-01,12,33,13
Lagos,2017-05-01,12,26,9
Lagos,2017-06-01,12,18,2
Lagos,2017-07-01,6,8,0
Lagos,2017-08-01,10,20,4
Lagos,2017-09-01,8,14,0
Lagos,2017-10-01,2,2,0
Lagos,2017-11-01,9,15,2
Lagos,2017-12-01,14,14,0
Lagos,2018-01-01,9,20,2
Lagos,2018-02-01,5,12,2
Lagos,2018-03-01,10,23,16
Lagos,2018-04-01,3,10,1
Lagos,2018-05-01,13,30,7
Lagos,2018-06-01,7,20,1
Lagos,2018-07-01,6,9,1
Lagos,2018-08-01,8,13,4
Lagos,2018-09-01,3,6,0
Lagos,2018-10-01,5,11,0
Lagos,2018-11-01,2,6,1
Lagos,2018-12-01,13,34,2
Lagos,2019-01-01,8,19,3
Lagos,2019-02-01,12,33,3
Lagos,2019-03-01,15,41,9
Lagos,2019-04-01,10,29,7
Lagos,2019-05-01,9,13,2
Lagos,2019-06-01,10,27,8
Lagos,2019-07-01,12,21,13
Lagos,2019-08-01,10,25,3
Lagos,2019-09-01,9,12,1
Lagos,2019-10-01,12,26,1
Lagos,2019-11-01,15,47,5
Lagos,2019-12-01,16,48,7
Lagos,2020-01-01,19,36,21
Lagos,2020-02-01,14,32,9
Lagos,2020-03-01,14,29,4
Lagos,2020-04-01,15,35,5
Lagos,2020-05-01,16,48,9
Lagos,2020-06-01,10,21,4
Lagos,2020-07-01,7,18,1
Lagos,2020-08-01,19,36,2
Lagos,2020-09-01,13,23,1
Lagos,2020-10-01,58,100,43
Lagos,2020-11-01,19,57,6
Lagos,2020-12-01,4,17,3
Lagos,2021-01-01,16,55,12
Lagos,2021-02-01,18,61,7
Lagos,2021-03-01,15,41,2
Lagos,2021-04-01,10,31,6
Lagos,2021-05-01,25,70,10
Lagos,2021-06-01,13,31,13
Lagos,2021-07-01,18,68,19
Lagos,2021-08-01,9,24,6
Lagos,2021-09-01,10,38,5
Lagos,2021-10-01,19,61,11
Lagos,2021-11-01,13,29,6
Lagos,2021-12-01,9,15,0
Lagos,2022-01-01,13,37,7
Lagos,2022-02-01,16,32,4
Lagos,2022-03-01,13,43,8
Lagos,2022-04-01,19,47,3
Lagos,2022-05-01,22,60,13
Lagos,2022-06-01,15,33,2
Lagos,2022-07-01,17,46,5
Lagos,2022-08-01,18,45,6
Lagos,2022-09-01,12,30,4
Lagos,2022-10-01,11,30,4
Lagos,2022-11-01,10,31,3
Lagos,2022-12-01,19,73,7
Lagos,2023-01-01,19,48,4
Lagos,2023-02-01,28,90,3
Lagos,2023-03-01,28,81,9
Lagos,2023-04-01,15,52,9
Lagos,2023-05-01,12,28,2
Lagos,2023-06-01,8,20,1
Lagos,2023-07-01,24,59,10
Lagos,2023-08-01,9,28,4
Lagos,2023-09-01,20,39,4
Lagos,2023-10-01,13,30,2
Lagos,2023-11-01,15,38,6
Lagos,2023-12-01,7,16,0
Lagos,2024-01-01,7,21,1
Lagos,2024-02-01,18,34,4
Lagos,2024-03-01,19,37,6
Lagos,2024-04-01,21,77,14
Lagos,2024-05-01,25,87,27
Lagos,2024-06-01,19,60,16
Lagos,2024-07-01,32,87,9
Lagos,2024-08-01,24,84,9
Lagos,2024-09-01,17,46,6
Lagos,2024-10-01,6,19,3
Lagos,2024-11-01,13,43,6
Lagos,2024-12-01,16,54,7
Oyo,2017-01-01,2,4,1
Oyo,2017-02-01,4,7,1
Oyo,2017-04-01,2,4,0
Oyo,2017-05-01,2,4,0
Oyo,2017-06-01,1,1,0
Oyo,2017-07-01,1,3,0
Oyo,2017-09-01,2,5,0
Oyo,2017-10-01,3,3,0
Oyo,2017-11-01,7,13,1
Oyo,2017-12-01,7,14,1
Oyo,2018-01-01,3,8,3
Oyo,2018-02-01,5,12,2
Oyo,2018-03-01,4,4,0
Oyo,2018-04-01,3,8,2
Oyo,2018-05-01,4,8,1
Oyo,2018-06-01,4,6,5
Oyo,2018-07-01,6,6,0
Oyo,2018-08-01,2,2,0
Oyo,2018-10-01,2,4,0
Oyo,2018-11-01,4,8,1
Oyo,2018-12-01,1,3,0
Oyo,2019-01-01,4,9,0
Oyo,2019-02-01,3,12,2
Oyo,2019-03-01,6,20,3
Oyo,2019-04-01,2,2,0
Oyo,2019-05-01,2,4,0
Oyo,2019-06-01,4,12,0
Oyo,2019-07-01,5,16,1
Oyo,2019-08-01,6,11,0
Oyo,2019-10-01,1,1,0
Oyo,2019-11-01,3,13,4
Oyo,2020-01-01,10,30,6
Oyo,2020-02-01,4,10,2
Oyo,2020-03-01,1,1,0
Oyo,2020-04-01,4,14,1
Oyo,2020-05-01,7,25,7
Oyo,2020-06-01,7,20,4
Oyo,2020-07-01,5,19,5
Oyo,2020-08-01,12,38,5
Oyo,2020-09-01,9,17,0
Oyo,2020-10-01,26,49,9
Oyo,2020-11-01,7,22,14
Oyo,2020-12-01,16,47,12
Oyo,2021-01-01,33,119,25
Oyo,2021-02-01,10,29,9
Oyo,2021-03-01,22,60,9
Oyo,2021-04-01,13,49,3
Oyo,2021-05-01,16,45,7
Oyo,2021-06-01,16,57,31
Oyo,2021-07-01,15,48,8
Oyo,2021-08-01,3,8,1
Oyo,2021-09-01,5,8,0
Oyo,2021-10-01,10,25,4
Oyo,2021-11-01,12,18,2
Oyo,2021-12-01,4,11,0
Oyo,2022-01-01,7,18,1
Oyo,2022-02-01,9,31,4
Oyo,2022-03-01,8,22,2
Oyo,2022-04-01,9,21,6
Oyo,2022-05-01,7,13,2
Oyo,2022-06-01,5,13,2
Oyo,2022-07-01,13,40,4
Oyo,2022-08-01,2,2,0
Oyo,2022-09-01,12,36,5
Oyo,2022-10-01,8,25,3
Oyo,2022-11-01,4,11,2
Oyo,2022-12-01,7,25,6
Oyo,2023-01-01,8,17,3
Oyo,2023-02-01,7,15,2
Oyo,2023-03-01,5,20,4
Oyo,2023-04-01,4,6,1
Oyo,2023-05-01,7,24,14
Oyo,2023-06-01,2,5,1
Oyo,2023-07-01,7,18,2
Oyo,2023-08-01,3,3,0
Oyo,2023-09-01,2,2,0
Oyo,2023-10-01,8,17,4
Oyo,2023-11-01,6,18,1
Oyo,2023-12-01,1,1,0
Oyo,2024-01-01,4,13,1
Oyo,2024-02-01,7,10,1
Oyo,2024-03-01,3,8,0
Oyo,2024-04-01,7,20,1
Oyo,2024-05-01,8,28,3
Oyo,2024-06-01,12,30,8
Oyo,2024-07-01,8,16,2
Oyo,2024-08-01,17,61,18
Oyo,2024-09-01,8,22,3
Oyo,2024-10-01,3,3,0
Oyo,2024-11-01,7,27,4
Oyo,2024-12-01,8,32,5
Sokoto,2017-01-01,2,5,0
Sokoto,2017-08-01,1,4,1
Sokoto,2018-01-01,1,5,1
Sokoto,2018-05-01,1,5,3
Sokoto,2018-06-01,1,3,8
Sokoto,2018-07-01,12,48,24
Sokoto,2018-08-01,1,1,0
Sokoto,2018-09-01,1,1,0
Sokoto,2018-10-01,2,7,1
Sokoto,2019-01-01,3,12,25
Sokoto,2019-02-01,4,16,16
Sokoto,2019-03-01,3,9,4
Sokoto,2019-04-01,2,10,5
Sokoto,2019-05-01,3,14,3
Sokoto,2019-06-01,6,24,75
Sokoto,2019-07-01,3,12,29
Sokoto,2019-08-01,1,4,0
Sokoto,2019-09-01,3,13,2
Sokoto,2019-10-01,8,28,5
Sokoto,2019-12-01,1,1,1
Sokoto,2020-02-01,1,1,0
Sokoto,2020-03-01,5,21,26
Sokoto,2020-04-01,1,5,1
Sokoto,2020-05-01,3,13,79
Sokoto,2020-06-01,1,5,100
Sokoto,2020-07-01,8,34,15
Sokoto,2020-08-01,4,16,1
Sokoto,2020-09-01,2,9,3
Sokoto,2020-10-01,1,1,0
Sokoto,2020-11-01,4,18,4
Sokoto,2021-01-01,3,13,8
Sokoto,2021-02-01,9,35,47
Sokoto,2021-03-01,5,17,14
Sokoto,2021-04-01,1,4,9
Sokoto,2021-05-01,11,46,32
Sokoto,2021-06-01,2,9,13
Sokoto,2021-07-01,6,22,13
Sokoto,2021-08-01,10,37,32
Sokoto,2021-09-01,14,47,68
Sokoto,2021-10-01,6,17,80
Sokoto,2021-11-01,15,65,89
Sokoto,2021-12-01,14,56,41
Sokoto,2022-01-01,9,39,23
Sokoto,2022-02-01,8,29,5
Sokoto,2022-03-01,8,24,9
Sokoto,2022-04-01,7,29,12
Sokoto,2022-05-01,8,25,12
Sokoto,2022-06-01,6,24,15
Sokoto,2022-07-01,10,34,34
Sokoto,2022-08-01,9,15,11
Sokoto,2022-09-01,1,4,0
Sokoto,2022-10-01,6,24,8
Sokoto,2022-11-01,13,46,13
Sokoto,2022-12-01,26,96,39
Sokoto,2023-01-01,10,35,104
Sokoto,2023-02-01,2,5,0
Sokoto,2023-03-01,9,40,12
Sokoto,2023-04-01,3,10,22
Sokoto,2023-05-01,9,36,8
Sokoto,2023-06-01,20,69,73
Sokoto,2023-07-01,23,86,18
Sokoto,2023-08-01,11,47,2
Sokoto,2023-09-01,19,74,40
Sokoto,2023-10-01,9,34,16
Sokoto,2023-11-01,17,65,31
Sokoto,2023-12-01,27,114,66
Sokoto,2024-01-01,8,29,7
Sokoto,2024-02-01,15,60,19
Sokoto,2024-03-01,16,65,24
Sokoto,2024-04-01,13,63,70
Sokoto,2024-05-01,13,44,19
Sokoto,2024-06-01,6,25,13
Sokoto,2024-07-01,13,42,14
Sokoto,2024-08-01,21,81,18
Sokoto,2024-09-01,7,28,10
Sokoto,2024-10-01,13,47,16
Sokoto,2024-11-01,45,170,67
Sokoto,2024-12-01,51,204,59
Yobe,2017-01-01,3,15,58
Yobe,2017-02-01,4,19,20
Yobe,2017-04-01,4,16,22
Yobe,2017-07-01,1,5,12
Yobe,2017-09-01,1,5,2
Yobe,2017-10-01,5,25,14
Yobe,2017-11-01,1,4,1
Yobe,2017-12-01,6,26,35
Yobe,2018-01-01,1,1,0
Yobe,2018-02-01,4,19,13
Yobe,2018-03-01,1,1,0
Yobe,2018-05-01,1,1,0
Yobe,2018-07-01,1,5,10
Yobe,2018-09-01,1,3,1
Yobe,2018-11-01,2,10,0
Yobe,2018-12-01,8,35,84
Yobe,2019-01-01,3,14,12
Yobe,2019-02-01,5,25,12
Yobe,2019-03-01,1,1,0
Yobe,2019-04-01,2,6,0
Yobe,2019-06-01,1,5,10
Yobe,2019-07-01,1,3,0
Yobe,2019-08-01,3,14,2
Yobe,2019-09-01,2,2,0
Yobe,2019-10-01,1,1,0
Yobe,2019-11-01,7,30,12
Yobe,2019-12-01,3,11,32
Yobe,2020-01-01,3,15,4
Yobe,2020-02-01,9,38,11
Yobe,2020-03-01,1,5,10
Yobe,2020-04-01,4,20,113
Yobe,2020-05-01,7,30,32
Yobe,2020-06-01,3,10,6
Yobe,2020-08-01,7,29,9
Yobe,2020-09-01,3,10,5
Yobe,2020-10-01,5,20,18
Yobe,2020-11-01,2,10,6
Yobe,2020-12-01,6,24,10
Yobe,2021-01-01,11,53,88
Yobe,2021-02-01,10,50,39
Yobe,2021-03-01,7,23,14
Yobe,2021-04-01,5,24,49
Yobe,2021-05-01,6,25,15
Yobe,2021-06-01,3,13,4
Yobe,2021-07-01,5,13,5
Yobe,2021-08-01,3,14,3
Yobe,2021-09-01,13,52,15
Yobe,2021-10-01,3,15,10
Yobe,2021-11-01,3,11,10
Yobe,2021-12-01,4,15,0
Yobe,2022-01-01,9,33,10
Yobe,2022-02-01,3,14,20
Yobe,2022-03-01,3,13,2
Yobe,2022-04-01,5,23,16
Yobe,2022-06-01,4,20,0
Yobe,2022-07-01,4,15,4
Yobe,2022-08-01,3,14,4
Yobe,2022-09-01,3,15,9
Yobe,2022-11-01,6,23,2
Yobe,2022-12-01,2,6,2
Yobe,2023-02-01,5,23,21
Yobe,2023-03-01,4,12,2
Yobe,2023-04-01,6,29,15
Yobe,2023-05-01,2,9,11
Yobe,2023-07-01,6,23,3
Yobe,2023-08-01,4,15,2
Yobe,2023-09-01,7,25,11
Yobe,2023-10-01,12,54,148
Yobe,2023-11-01,5,24,8
Yobe,2023-12-01,10,48,13
Yobe,2024-01-01,10,37,9
Yobe,2024-02-01,12,44,17
Yobe,2024-03-01,2,10,1
Yobe,2024-04-01,4,11,5
Yobe,2024-05-01,3,15,0
Yobe,2024-06-01,10,36,5
Yobe,2024-07-01,19,68,21
Yobe,2024-08-01,10,37,41
Yobe,2024-09-01,8,37,19
Yobe,2024-10-01,3,13,4
Yobe,2024-11-01,10,43,13
Yobe,2024-12-01,5,21,1
Zamfara,2017-01-01,1,4,1
Zamfara,2017-02-01,1,5,3
Zamfara,2017-04-01,1,3,0
Zamfara,2017-09-01,2,9,2
Zamfara,2018-01-01,1,4,3
Zamfara,2018-02-01,1,4,41
Zamfara,2018-03-01,3,13,86
Zamfara,2018-04-01,6,26,54
Zamfara,2018-05-01,6,27,45
Zamfara,2018-06-01,9,38,92
Zamfara,2018-07-01,17,66,84
Zamfara,2018-08-01,17,81,60
Zamfara,2018-09-01,2,7,6
Zamfara,2018-10-01,2,6,0
Zamfara,2018-11-01,1,5,105
Zamfara,2018-12-01,9,33,111
Zamfara,2019-01-01,7,32,78
Zamfara,2019-02-01,25,105,181
Zamfara,2019-03-01,17,79,284
Zamfara,2019-04-01,17,83,90
Zamfara,2019-05-01,9,39,127
Zamfara,2019-06-01,25,108,206
Zamfara,2019-07-01,8,17,3
Zamfara,2019-08-01,1,5,1
Zamfara,2019-09-01,5,9,10
Zamfara,2019-10-01,4,20,78
Zamfara,2019-11-01,4,10,23
Zamfara,2019-12-01,2,9,1
Zamfara,2020-01-01,5,20,16
Zamfara,2020-02-01,4,17,28
Zamfara,2020-03-01,22,104,72
Zamfara,2020-04-01,5,24,124
Zamfara,2020-05-01,20,96,239
Zamfara,2020-06-01,18,83,73
Zamfara,2020-07-01,14,69,55
Zamfara,2020-08-01,6,29,7
Zamfara,2020-09-01,11,43,14
Zamfara,2020-10-01,11,49,36
Zamfara,2020-11-01,20,91,53
Zamfara,2020-12-01,10,47,12
Zamfara,2021-01-01,21,87,237
Zamfara,2021-02-01,13,47,56
Zamfara,2021-03-01,8,35,75
Zamfara,2021-04-01,13,60,111
Zamfara,2021-05-01,17,69,51
Zamfara,2021-06-01,25,105,277
Zamfara,2021-07-01,36,156,336
Zamfara,2021-08-01,29,114,72
Zamfara,2021-09-01,12,49,47
Zamfara,2021-10-01,16,66,74
Zamfara,2021-11-01,18,61,47
Zamfara,2021-12-01,18,75,73
Zamfara,2022-01-01,34,131,161
Zamfara,2022-02-01,21,79,75
Zamfara,2022-03-01,24,85,113
Zamfara,2022-04-01,20,81,110
Zamfara,2022-05-01,19,74,98
Zamfara,2022-06-01,22,82,113
Zamfara,2022-07-01,25,82,94
Zamfara,2022-08-01,14,58,36
Zamfara,2022-09-01,22,84,97
Zamfara,2022-10-01,55,215,131
Zamfara,2022-11-01,31,128,287
Zamfara,2022-12-01,27,114,156
Zamfara,2023-01-01,25,98,42
Zamfara,2023-02-01,8,30,20
Zamfara,2023-03-01,22,90,64
Zamfara,2023-04-01,27,123,64
Zamfara,2023-05-01,18,73,69
Zamfara,2023-06-01,23,100,80
Zamfara,2023-07-01,49,211,153
Zamfara,2023-08-01,25,97,22
Zamfara,2023-09-01,16,63,23
Zamfara,2023-10-01,20,80,146
Zamfara,2023-11-01,13,61,48
Zamfara,2023-12-01,43,163,39
Zamfara,2024-01-01,26,107,30
Zamfara,2024-02-01,41,172,275
Zamfara,2024-03-01,61,255,207
Zamfara,2024-04-01,58,251,169
Zamfara,2024-05-01,43,168,205
Zamfara,2024-06-01,22,79,42
Zamfara,2024-07-01,30,103,29
Zamfara,2024-08-01,48,190,112
Zamfara,2024-09-01,15,65,96
Zamfara,2024-10-01,27,110,28
Zamfara,2024-11-01,75,295,158
Zamfara,2024-12-01,35,134,62
