date,commodity,import_volume
2017-01-01,Beans (white),599.0
2017-02-01,Beans (white),599.0
2017-03-01,Beans (white),599.0
2017-04-01,Beans (white),599.0
2017-05-01,Beans (white),599.0
2017-06-01,Beans (white),599.0
2017-07-01,Beans (white),599.0
2017-08-01,Beans (white),599.0
2017-09-01,Beans (white),599.0
2017-10-01,Beans (white),599.0
2017-11-01,Beans (white),599.0
2017-12-01,Beans (white),599.0
2018-01-01,Beans (white),3871.0
2018-02-01,Beans (white),3871.0
2018-03-01,Beans (white),3871.0
2018-04-01,Beans (white),3871.0
2018-05-01,Beans (white),3871.0
2018-06-01,Beans (white),3871.0
2018-07-01,Beans (white),3871.0
2018-08-01,Beans (white),3871.0
2018-09-01,Beans (white),3871.0
2018-10-01,Beans (white),3871.0
2018-11-01,Beans (white),3871.0
2018-12-01,Beans (white),3871.0
2019-01-01,Beans (white),9270.79
2019-02-01,Beans (white),9270.79
2019-03-01,Beans (white),9270.79
2019-04-01,Beans (white),9270.79
2019-05-01,Beans (white),9270.79
2019-06-01,Beans (white),9270.79
2019-07-01,Beans (white),9270.79
2019-08-01,Beans (white),9270.79
2019-09-01,Beans (white),9270.79
2019-10-01,Beans (white),9270.79
2019-11-01,Beans (white),9270.79
2019-12-01,Beans (white),9270.79
2020-01-01,Beans (white),7495.61
2020-02-01,Beans (white),7495.61
2020-03-01,Beans (white),7495.61
2020-04-01,Beans (white),7495.61
2020-05-01,Beans (white),7495.61
2020-06-01,Beans (white),7495.61
2020-07-01,Beans (white),7495.61
2020-08-01,Beans (white),7495.61
2020-09-01,Beans (white),7495.61
2020-10-01,Beans (white),7495.61
2020-11-01,Beans (white),7495.61
2020-12-01,Beans (white),7495.61
2021-01-01,Beans (white),5158.83
2021-02-01,Beans (white),5158.83
2021-03-01,Beans (white),5158.83
2021-04-01,Beans (white),5158.83
2021-05-01,Beans (white),5158.83
2021-06-01,Beans (white),5158.83
2021-07-01,Beans (white),5158.83
2021-08-01,Beans (white),5158.83
2021-09-01,Beans (white),5158.83
2021-10-01,Beans (white),5158.83
2021-11-01,Beans (white),5158.83
2021-12-01,Beans (white),5158.83
2022-01-01,Beans (white),848.52
2022-02-01,Beans (white),848.52
2022-03-01,Beans (white),848.52
2022-04-01,Beans (white),848.52
2022-05-01,Beans (white),848.52
2022-06-01,Beans (white),848.52
2022-07-01,Beans (white),848.52
2022-08-01,Beans (white),848.52
2022-09-01,Beans (white),848.52
2022-10-01,Beans (white),848.52
2022-11-01,Beans (white),848.52
2022-12-01,Beans (white),848.52
2023-01-01,Beans (white),3073.54
2023-02-01,Beans (white),3073.54
2023-03-01,Beans (white),3073.54
2023-04-01,Beans (white),3073.54
2023-05-01,Beans (white),3073.54
2023-06-01,Beans (white),3073.54
2023-07-01,Beans (white),3073.54
2023-08-01,Beans (white),3073.54
2023-09-01,Beans (white),3073.54
2023-10-01,Beans (white),3073.54
2023-11-01,Beans (white),3073.54
2023-12-01,Beans (white),3073.54
2024-01-01,Beans (white),3587.74
2024-02-01,Beans (white),3587.74
2024-03-01,Beans (white),3587.74
2024-04-01,Beans (white),3587.74
2024-05-01,Beans (white),3587.74
2024-06-01,Beans (white),3587.74
2024-07-01,Beans (white),3587.74
2024-08-01,Beans (white),3587.74
2024-09-01,Beans (white),3587.74
2024-10-01,Beans (white),3587.74
2024-11-01,Beans (white),3587.74
2024-12-01,Beans (white),3587.74
2017-01-01,Rice (imported),2767.58
2017-02-01,Rice (imported),2767.58
2017-03-01,Rice (imported),2767.58
2017-04-01,Rice (imported),2767.58
2017-05-01,Rice (imported),2767.58
2017-06-01,Rice (imported),2767.58
2017-07-01,Rice (imported),2767.58
2017-08-01,Rice (imported),2767.58
2017-09-01,Rice (imported),2767.58
2017-10-01,Rice (imported),2767.58
2017-11-01,Rice (imported),2767.58
2017-12-01,Rice (imported),2767.58
2018-01-01,Rice (imported),4102.36
2018-02-01,Rice (imported),4102.36
2018-03-01,Rice (imported),4102.36
2018-04-01,Rice (imported),4102.36
2018-05-01,Rice (imported),4102.36
2018-06-01,Rice (imported),4102.36
2018-07-01,Rice (imported),4102.36
2018-08-01,Rice (imported),4102.36
2018-09-01,Rice (imported),4102.36
2018-10-01,Rice (imported),4102.36
2018-11-01,Rice (imported),4102.36
2018-12-01,Rice (imported),4102.36
2019-01-01,Rice (imported),64.0
2019-02-01,Rice (imported),64.0
2019-03-01,Rice (imported),64.0
2019-04-01,Rice (imported),64.0
2019-05-01,Rice (imported),64.0
2019-06-01,Rice (imported),64.0
2019-07-01,Rice (imported),64.0
2019-08-01,Rice (imported),64.0
2019-09-01,Rice (imported),64.0
2019-10-01,Rice (imported),64.0
2019-11-01,Rice (imported),64.0
2019-12-01,Rice (imported),64.0
2020-01-01,Rice (imported),2751.48
2020-02-01,Rice (imported),2751.48
2020-03-01,Rice (imported),2751.48
2020-04-01,Rice (imported),2751.48
2020-05-01,Rice (imported),2751.48
2020-06-01,Rice (imported),2751.48
2020-07-01,Rice (imported),2751.48
2020-08-01,Rice (imported),2751.48
2020-09-01,Rice (imported),2751.48
2020-10-01,Rice (imported),2751.48
2020-11-01,Rice (imported),2751.48
2020-12-01,Rice (imported),2751.48
2021-01-01,Rice (imported),2978.0
2021-02-01,Rice (imported),2978.0
2021-03-01,Rice (imported),2978.0
2021-04-01,Rice (imported),2978.0
2021-05-01,Rice (imported),2978.0
2021-06-01,Rice (imported),2978.0
2021-07-01,Rice (imported),2978.0
2021-08-01,Rice (imported),2978.0
2021-09-01,Rice (imported),2978.0
2021-10-01,Rice (imported),2978.0
2021-11-01,Rice (imported),2978.0
2021-12-01,Rice (imported),2978.0
2022-01-01,Rice (imported),2973.0
2022-02-01,Rice (imported),2973.0
2022-03-01,Rice (imported),2973.0
2022-04-01,Rice (imported),2973.0
2022-05-01,Rice (imported),2973.0
2022-06-01,Rice (imported),2973.0
2022-07-01,Rice (imported),2973.0
2022-08-01,Rice (imported),2973.0
2022-09-01,Rice (imported),2973.0
2022-10-01,Rice (imported),2973.0
2022-11-01,Rice (imported),2973.0
2022-12-01,Rice (imported),2973.0
2023-01-01,Rice (imported),635.4
2023-02-01,Rice (imported),635.4
2023-03-01,Rice (imported),635.4
2023-04-01,Rice (imported),635.4
2023-05-01,Rice (imported),635.4
2023-06-01,Rice (imported),635.4
2023-07-01,Rice (imported),635.4
2023-08-01,Rice (imported),635.4
2023-09-01,Rice (imported),635.4
2023-10-01,Rice (imported),635.4
2023-11-01,Rice (imported),635.4
2023-12-01,Rice (imported),635.4
2024-01-01,Rice (imported),710.92
2024-02-01,Rice (imported),710.92
2024-03-01,Rice (imported),710.92
2024-04-01,Rice (imported),710.92
2024-05-01,Rice (imported),710.92
2024-06-01,Rice (imported),710.92
2024-07-01,Rice (imported),710.92
2024-08-01,Rice (imported),710.92
2024-09-01,Rice (imported),710.92
2024-10-01,Rice (imported),710.92
2024-11-01,Rice (imported),710.92
2024-12-01,Rice (imported),710.92
2017-01-01,Tomatoes,721.06
2017-02-01,Tomatoes,721.06
2017-03-01,Tomatoes,721.06
2017-04-01,Tomatoes,721.06
2017-05-01,Tomatoes,721.06
2017-06-01,Tomatoes,721.06
2017-07-01,Tomatoes,721.06
2017-08-01,Tomatoes,721.06
2017-09-01,Tomatoes,721.06
2017-10-01,Tomatoes,721.06
2017-11-01,Tomatoes,721.06
2017-12-01,Tomatoes,721.06
2018-01-01,Tomatoes,123.79
2018-02-01,Tomatoes,123.79
2018-03-01,Tomatoes,123.79
2018-04-01,Tomatoes,123.79
2018-05-01,Tomatoes,123.79
2018-06-01,Tomatoes,123.79
2018-07-01,Tomatoes,123.79
2018-08-01,Tomatoes,123.79
2018-09-01,Tomatoes,123.79
2018-10-01,Tomatoes,123.79
2018-11-01,Tomatoes,123.79
2018-12-01,Tomatoes,123.79
2019-01-01,Tomatoes,58.04
2019-02-01,Tomatoes,58.04
2019-03-01,Tomatoes,58.04
2019-04-01,Tomatoes,58.04
2019-05-01,Tomatoes,58.04
2019-06-01,Tomatoes,58.04
2019-07-01,Tomatoes,58.04
2019-08-01,Tomatoes,58.04
2019-09-01,Tomatoes,58.04
2019-10-01,Tomatoes,58.04
2019-11-01,Tomatoes,58.04
2019-12-01,Tomatoes,58.04
2020-01-01,Tomatoes,38.13
2020-02-01,Tomatoes,38.13
2020-03-01,Tomatoes,38.13
2020-04-01,Tomatoes,38.13
2020-05-01,Tomatoes,38.13
2020-06-01,Tomatoes,38.13
2020-07-01,Tomatoes,38.13
2020-08-01,Tomatoes,38.13
2020-09-01,Tomatoes,38.13
2020-10-01,Tomatoes,38.13
2020-11-01,Tomatoes,38.13
2020-12-01,Tomatoes,38.13
2021-01-01,Tomatoes,87.86
2021-02-01,Tomatoes,87.86
2021-03-01,Tomatoes,87.86
2021-04-01,Tomatoes,87.86
2021-05-01,Tomatoes,87.86
2021-06-01,Tomatoes,87.86
2021-07-01,Tomatoes,87.86
2021-08-01,Tomatoes,87.86
2021-09-01,Tomatoes,87.86
2021-10-01,Tomatoes,87.86
2021-11-01,Tomatoes,87.86
2021-12-01,Tomatoes,87.86
2022-01-01,Tomatoes,209.65
2022-02-01,Tomatoes,209.65
2022-03-01,Tomatoes,209.65
2022-04-01,Tomatoes,209.65
2022-05-01,Tomatoes,209.65
2022-06-01,Tomatoes,209.65
2022-07-01,Tomatoes,209.65
2022-08-01,Tomatoes,209.65
2022-09-01,Tomatoes,209.65
2022-10-01,Tomatoes,209.65
2022-11-01,Tomatoes,209.65
2022-12-01,Tomatoes,209.65
2023-01-01,Tomatoes,83.02
2023-02-01,Tomatoes,83.02
2023-03-01,Tomatoes,83.02
2023-04-01,Tomatoes,83.02
2023-05-01,Tomatoes,83.02
2023-06-01,Tomatoes,83.02
2023-07-01,Tomatoes,83.02
2023-08-01,Tomatoes,83.02
2023-09-01,Tomatoes,83.02
2023-10-01,Tomatoes,83.02
2023-11-01,Tomatoes,83.02
2023-12-01,Tomatoes,83.02
2024-01-01,Tomatoes,44.83
2024-02-01,Tomatoes,44.83
2024-03-01,Tomatoes,44.83
2024-04-01,Tomatoes,44.83
2024-05-01,Tomatoes,44.83
2024-06-01,Tomatoes,44.83
2024-07-01,Tomatoes,44.83
2024-08-01,Tomatoes,44.83
2024-09-01,Tomatoes,44.83
2024-10-01,Tomatoes,44.83
2024-11-01,Tomatoes,44.83
2024-12-01,Tomatoes,44.83
2017-01-01,Yam,1.0
2017-02-01,Yam,1.0
2017-03-01,Yam,1.0
2017-04-01,Yam,1.0
2017-05-01,Yam,1.0
2017-06-01,Yam,1.0
2017-07-01,Yam,1.0
2017-08-01,Yam,1.0
2017-09-01,Yam,1.0
2017-10-01,Yam,1.0
2017-11-01,Yam,1.0
2017-12-01,Yam,1.0
2018-01-01,Yam,15.0
2018-02-01,Yam,15.0
2018-03-01,Yam,15.0
2018-04-01,Yam,15.0
2018-05-01,Yam,15.0
2018-06-01,Yam,15.0
2018-07-01,Yam,15.0
2018-08-01,Yam,15.0
2018-09-01,Yam,15.0
2018-10-01,Yam,15.0
2018-11-01,Yam,15.0
2018-12-01,Yam,15.0
2019-01-01,Yam,4.13
2019-02-01,Yam,4.13
2019-03-01,Yam,4.13
2019-04-01,Yam,4.13
2019-05-01,Yam,4.13
2019-06-01,Yam,4.13
2019-07-01,Yam,4.13
2019-08-01,Yam,4.13
2019-09-01,Yam,4.13
2019-10-01,Yam,4.13
2019-11-01,Yam,4.13
2019-12-01,Yam,4.13
2020-01-01,Yam,10.79
2020-02-01,Yam,10.79
2020-03-01,Yam,10.79
2020-04-01,Yam,10.79
2020-05-01,Yam,10.79
2020-06-01,Yam,10.79
2020-07-01,Yam,10.79
2020-08-01,Yam,10.79
2020-09-01,Yam,10.79
2020-10-01,Yam,10.79
2020-11-01,Yam,10.79
2020-12-01,Yam,10.79
2023-01-01,Yam,0.0
2023-02-01,Yam,0.0
2023-03-01,Yam,0.0
2023-04-01,Yam,0.0
2023-05-01,Yam,0.0
2023-06-01,Yam,0.0
2023-07-01,Yam,0.0
2023-08-01,Yam,0.0
2023-09-01,Yam,0.0
2023-10-01,Yam,0.0
2023-11-01,Yam,0.0
2023-12-01,Yam,0.0
2024-01-01,Yam,88.08
2024-02-01,Yam,88.08
2024-03-01,Yam,88.08
2024-04-01,Yam,88.08
2024-05-01,Yam,88.08
2024-06-01,Yam,88.08
2024-07-01,Yam,88.08
2024-08-01,Yam,88.08
2024-09-01,Yam,88.08
2024-10-01,Yam,88.08
2024-11-01,Yam,88.08
2024-12-01,Yam,88.08
2017-01-01,Maize (white),319048.605
2017-02-01,Maize (white),319048.605
2017-03-01,Maize (white),319048.605
2017-04-01,Maize (white),319048.605
2017-05-01,Maize (white),319048.605
2017-06-01,Maize (white),319048.605
2017-07-01,Maize (white),319048.605
2017-08-01,Maize (white),319048.605
2017-09-01,Maize (white),319048.605
2017-10-01,Maize (white),319048.605
2017-11-01,Maize (white),319048.605
2017-12-01,Maize (white),319048.605
2018-01-01,Maize (white),100000.0
2018-02-01,Maize (white),100000.0
2018-03-01,Maize (white),100000.0
2018-04-01,Maize (white),100000.0
2018-05-01,Maize (white),100000.0
2018-06-01,Maize (white),100000.0
2018-07-01,Maize (white),100000.0
2018-08-01,Maize (white),100000.0
2018-09-01,Maize (white),100000.0
2018-10-01,Maize (white),100000.0
2018-11-01,Maize (white),100000.0
2018-12-01,Maize (white),100000.0
2019-01-01,Maize (white),100000.0
2019-02-01,Maize (white),100000.0
2019-03-01,Maize (white),100000.0
2019-04-01,Maize (white),100000.0
2019-05-01,Maize (white),100000.0
2019-06-01,Maize (white),100000.0
2019-07-01,Maize (white),100000.0
2019-08-01,Maize (white),100000.0
2019-09-01,Maize (white),100000.0
2019-10-01,Maize (white),100000.0
2019-11-01,Maize (white),100000.0
2019-12-01,Maize (white),100000.0
2020-01-01,Maize (white),139963.58
2020-02-01,Maize (white),139963.58
2020-03-01,Maize (white),139963.58
2020-04-01,Maize (white),139963.58
2020-05-01,Maize (white),139963.58
2020-06-01,Maize (white),139963.58
2020-07-01,Maize (white),139963.58
2020-08-01,Maize (white),139963.58
2020-09-01,Maize (white),139963.58
2020-10-01,Maize (white),139963.58
2020-11-01,Maize (white),139963.58
2020-12-01,Maize (white),139963.58
2021-01-01,Maize (white),98313.0
2021-02-01,Maize (white),98313.0
2021-03-01,Maize (white),98313.0
2021-04-01,Maize (white),98313.0
2021-05-01,Maize (white),98313.0
2021-06-01,Maize (white),98313.0
2021-07-01,Maize (white),98313.0
2021-08-01,Maize (white),98313.0
2021-09-01,Maize (white),98313.0
2021-10-01,Maize (white),98313.0
2021-11-01,Maize (white),98313.0
2021-12-01,Maize (white),98313.0
2022-01-01,Maize (white),103292.0
2022-02-01,Maize (white),103292.0
2022-03-01,Maize (white),103292.0
2022-04-01,Maize (white),103292.0
2022-05-01,Maize (white),103292.0
2022-06-01,Maize (white),103292.0
2022-07-01,Maize (white),103292.0
2022-08-01,Maize (white),103292.0
2022-09-01,Maize (white),103292.0
2022-10-01,Maize (white),103292.0
2022-11-01,Maize (white),103292.0
2022-12-01,Maize (white),103292.0
2023-01-01,Maize (white),50000.0
2023-02-01,Maize (white),50000.0
2023-03-01,Maize (white),50000.0
2023-04-01,Maize (white),50000.0
2023-05-01,Maize (white),50000.0
2023-06-01,Maize (white),50000.0
2023-07-01,Maize (white),50000.0
2023-08-01,Maize (white),50000.0
2023-09-01,Maize (white),50000.0
2023-10-01,Maize (white),50000.0
2023-11-01,Maize (white),50000.0
2023-12-01,Maize (white),50000.0
2024-01-01,Maize (white),62500.0
2024-02-01,Maize (white),62500.0
2024-03-01,Maize (white),62500.0
2024-04-01,Maize (white),62500.0
2024-05-01,Maize (white),62500.0
2024-06-01,Maize (white),62500.0
2024-07-01,Maize (white),62500.0
2024-08-01,Maize (white),62500.0
2024-09-01,Maize (white),62500.0
2024-10-01,Maize (white),62500.0
2024-11-01,Maize (white),62500.0
2024-12-01,Maize (white),62500.0
2017-01-01,Maize (yellow),319048.605
2017-02-01,Maize (yellow),319048.605
2017-03-01,Maize (yellow),319048.605
2017-04-01,Maize (yellow),319048.605
2017-05-01,Maize (yellow),319048.605
2017-06-01,Maize (yellow),319048.605
2017-07-01,Maize (yellow),319048.605
2017-08-01,Maize (yellow),319048.605
2017-09-01,Maize (yellow),319048.605
2017-10-01,Maize (yellow),319048.605
2017-11-01,Maize (yellow),319048.605
2017-12-01,Maize (yellow),319048.605
2018-01-01,Maize (yellow),100000.0
2018-02-01,Maize (yellow),100000.0
2018-03-01,Maize (yellow),100000.0
2018-04-01,Maize (yellow),100000.0
2018-05-01,Maize (yellow),100000.0
2018-06-01,Maize (yellow),100000.0
2018-07-01,Maize (yellow),100000.0
2018-08-01,Maize (yellow),100000.0
2018-09-01,Maize (yellow),100000.0
2018-10-01,Maize (yellow),100000.0
2018-11-01,Maize (yellow),100000.0
2018-12-01,Maize (yellow),100000.0
2019-01-01,Maize (yellow),100000.0
2019-02-01,Maize (yellow),100000.0
2019-03-01,Maize (yellow),100000.0
2019-04-01,Maize (yellow),100000.0
2019-05-01,Maize (yellow),100000.0
2019-06-01,Maize (yellow),100000.0
2019-07-01,Maize (yellow),100000.0
2019-08-01,Maize (yellow),100000.0
2019-09-01,Maize (yellow),100000.0
2019-10-01,Maize (yellow),100000.0
2019-11-01,Maize (yellow),100000.0
2019-12-01,Maize (yellow),100000.0
2020-01-01,Maize (yellow),139963.58
2020-02-01,Maize (yellow),139963.58
2020-03-01,Maize (yellow),139963.58
2020-04-01,Maize (yellow),139963.58
2020-05-01,Maize (yellow),139963.58
2020-06-01,Maize (yellow),139963.58
2020-07-01,Maize (yellow),139963.58
2020-08-01,Maize (yellow),139963.58
2020-09-01,Maize (yellow),139963.58
2020-10-01,Maize (yellow),139963.58
2020-11-01,Maize (yellow),139963.58
2020-12-01,Maize (yellow),139963.58
2021-01-01,Maize (yellow),98313.0
2021-02-01,Maize (yellow),98313.0
2021-03-01,Maize (yellow),98313.0
2021-04-01,Maize (yellow),98313.0
2021-05-01,Maize (yellow),98313.0
2021-06-01,Maize (yellow),98313.0
2021-07-01,Maize (yellow),98313.0
2021-08-01,Maize (yellow),98313.0
2021-09-01,Maize (yellow),98313.0
2021-10-01,Maize (yellow),98313.0
2021-11-01,Maize (yellow),98313.0
2021-12-01,Maize (yellow),98313.0
2022-01-01,Maize (yellow),103292.0
2022-02-01,Maize (yellow),103292.0
2022-03-01,Maize (yellow),103292.0
2022-04-01,Maize (yellow),103292.0
2022-05-01,Maize (yellow),103292.0
2022-06-01,Maize (yellow),103292.0
2022-07-01,Maize (yellow),103292.0
2022-08-01,Maize (yellow),103292.0
2022-09-01,Maize (yellow),103292.0
2022-10-01,Maize (yellow),103292.0
2022-11-01,Maize (yellow),103292.0
2022-12-01,Maize (yellow),103292.0
2023-01-01,Maize (yellow),50000.0
2023-02-01,Maize (yellow),50000.0
2023-03-01,Maize (yellow),50000.0
2023-04-01,Maize (yellow),50000.0
2023-05-01,Maize (yellow),50000.0
2023-06-01,Maize (yellow),50000.0
2023-07-01,Maize (yellow),50000.0
2023-08-01,Maize (yellow),50000.0
2023-09-01,Maize (yellow),50000.0
2023-10-01,Maize (yellow),50000.0
2023-11-01,Maize (yellow),50000.0
2023-12-01,Maize (yellow),50000.0
2024-01-01,Maize (yellow),62500.0
2024-02-01,Maize (yellow),62500.0
2024-03-01,Maize (yellow),62500.0
2024-04-01,Maize (yellow),62500.0
2024-05-01,Maize (yellow),62500.0
2024-06-01,Maize (yellow),62500.0
2024-07-01,Maize (yellow),62500.0
2024-08-01,Maize (yellow),62500.0
2024-09-01,Maize (yellow),62500.0
2024-10-01,Maize (yellow),62500.0
2024-11-01,Maize (yellow),62500.0
2024-12-01,Maize (yellow),62500.0
